candidate_id,smiles,did,name,source
16,P(C(C)(C)C)(C(C)(C)C)C(C)(C)C,,quest_16,legacy_quest
41,P(C(C)(C)C)(C(C)(C)C)CC(C),,quest_41,legacy_quest
42,P(C(C)(C)C)(C(C)(C)C)[CH2]C(C)(C)C,,quest_42,legacy_quest
43,P(C(C)(C)C)(C(C)(C)C)C1CCCCC1,,quest_43,legacy_quest
45,P(C(C)(C)C)(C(C)(C)C)C12CC3CC(C1)CC(C3)C2,,quest_45,legacy_quest
54,P(C12CC3CC(C1)CC(C3)C2)(C12CC3CC(C1)CC(C3)C2)CCCC,,quest_54,legacy_quest
55,P(C12CC3CC(C1)CC(C3)C2)(C12CC3CC(C1)CC(C3)C2)C(C)(C)C,,quest_55,legacy_quest
113,CC(C)(C)P(c1ccccc1)C(C)(C)C,,quest_113,legacy_quest
142,CC(C)(P1C(CC(CC1C)=O)C)C,,quest_142,legacy_quest
143,CC(P(C(C)(C)C1)c2ccccc2)(C)CC1=O,,quest_143,legacy_quest
21,P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,,quest_21,legacy_quest
1,[PH3],,quest_1,legacy_quest
2,P(C)(C)C,,quest_2,legacy_quest
3,P(C(F)(F)F)(C(F)(F)F)C(F)(F)F,,quest_3,legacy_quest
4,P(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,,quest_4,legacy_quest
5,P(CC)(CC)CC,,quest_5,legacy_quest
6,P(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,quest_6,legacy_quest
7,P([CH2]C(F)(F)F)([CH2]C(F)(F)F)[CH2]C(F)(F)F,,quest_7,legacy_quest
8,P(C(=O)C)(C(=O)C)C(=O)C,,quest_8,legacy_quest
9,P(CCC)(CCC)CCC,,quest_9,legacy_quest
10,P(CC(C))(CC(C))CC(C),,quest_10,legacy_quest
11,P([CH2]CC#N)([CH2]CC#N)[CH2]CC#N,,quest_11,legacy_quest
12,P([CH2]CCCO)([CH2]CCCO)[CH2]CCCO,,quest_12,legacy_quest
13,P(CCCC)(CCCC)CCCC,,quest_13,legacy_quest
14,P([CH2]C(C)C)([CH2]C(C)C)[CH2]C(C)C,,quest_14,legacy_quest
15,P(C(C)CC)(C(C)CC)C(C)CC,,quest_15,legacy_quest
17,P(c1ccco1)(c1ccco1)c1ccco1,,quest_17,legacy_quest
18,P(C1CCCO1)(C1CCCO1)C1CCCO1,,quest_18,legacy_quest
19,P([CH2]C(C)(C)C)([CH2]C(C)(C)C)[CH2]C(C)(C)C,,quest_19,legacy_quest
20,P(C1CCCC1)(C1CCCC1)C1CCCC1,,quest_20,legacy_quest
22,P(Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1,,quest_22,legacy_quest
23,C(=O)O[PH2],,quest_23,legacy_quest
24,[PH](C)C,,quest_24,legacy_quest
25,P(C)(C)C(F)(F)F,,quest_25,legacy_quest
26,P(C)(C)CC,,quest_26,legacy_quest
27,P(C)(C)C(=O)C,,quest_27,legacy_quest
28,P(C)(C)CCC,,quest_28,legacy_quest
29,P(C)(C)CC(C),,quest_29,legacy_quest
30,P(C)(C)C(C)(C)C,,quest_30,legacy_quest
31,P(C)(C)Cc1ccccc1,,quest_31,legacy_quest
32,P(C(F)(F)F)(C(F)(F)F)C,,quest_32,legacy_quest
33,P(CC)(CC)C,,quest_33,legacy_quest
34,P(C(=O)C)(C(=O)C)C,,quest_34,legacy_quest
35,P(CC(C))(CC(C))C,,quest_35,legacy_quest
36,P(CC(C))(CC(C))C(C)CC,,quest_36,legacy_quest
